Area,Intrusion_Name, Length, Danger_Level, Shortest_Dist_Wire, Volume, Date, Start_Point_X,Start_Point_Y,End_Point_X,End_PointvY,POINT-X,POINT-Y,Total_Length
Hegsetfoss,1,10.08,U1,2.75,35.26,8/10/2021,617820,6999022.7,617811.9,6999014.6,617821.3,6999017,11.46
Hegsetfoss,2,2.62,U2,3.99,5.95,8/10/2021,617806.3,6999008.9,617804.4,6999007,617801.6,6999013.2,2.62
Hegsetfoss,3,2.59,U3,4.02,2.11,8/10/2021,617687,6998888.6,617681.4,6998883,617684.8,6998890.4,7.89
Hegsetfoss,4,3.27,U3,4.58,1.66,8/10/2021,617675.7,6998877.1,617669.5,6998870.9,617675.7,6998872.8,8.8
Hegsetfoss,5,1.76,U2,4.54,1.22,8/10/2021,617663.5,6998864.8,617662.2,6998863.6,617667.4,6998859.5,1.76
Hegsetfoss,6,10.79,U3,3.32,13.12,8/10/2021,617652.4,6998853.6,617642.2,6998843.4,617655.7,6998849.5,14.36
Hegsetfoss,7,17.5,U2,3.21,38.08,8/10/2021,617605.6,6998806.5,617588.3,6998789,617597,6998789.9,24.55
Hegsetfoss,8,14.06,U2,3.78,21.44,8/10/2021,617584.2,6998784.9,617568,6998768.6,617586.5,6998779.4,22.98
Hegsetfoss,9,3.09,U2,3.75,11.9,8/10/2021,617563.3,6998763.9,617561.1,6998761.8,617566.2,6998758.3,3.09
Hegsetfoss,10,0.46,U3,4.81,0.19,8/10/2021,617552.5,6998753.1,617552.2,6998752.7,617547.2,6998758.1,0.46
Hegsetfoss,11,2.73,U3,3.95,4.1,8/10/2021,617522.3,6998722.6,617518.1,6998718.4,617525.7,6998717.8,5.99
Hegsetfoss,12,0.07,U3,4.86,0.13,8/10/2021,617509.3,6998709.6,617509.3,6998709.5,617504.1,6998714.7,0.07
Hegsetfoss,13,6.96,U2,3.7,13.5,8/10/2021,617499.7,6998699.9,617494.8,6998695,617499.9,6998691.6,6.96
Hegsetfoss,14,6.08,U1,2.8,12.61,8/10/2021,617468.5,6998668.5,617462.2,6998662.2,617467.7,6998660.4,8.89
Hegsetfoss,15,16.11,U1,2.91,41.28,8/10/2021,617457.7,6998657.7,617442.5,6998642.5,617441.1,6998648.5,21.53
Hegsetfoss,16,1.61,U3,4.3,2.05,8/10/2021,617438.7,6998638.6,617437.5,6998637.4,617433.4,6998642.8,1.61
Hegsetfoss,17,1.7,U3,3.72,1.15,8/10/2021,617432.8,6998632.6,617428.9,6998628.7,617429.9,6998634.7,5.46
Hegsetfoss,18,4.37,U2,4.25,5.7,8/10/2021,617425.1,6998624.9,617418.8,6998618.6,617417.3,6998626.7,8.9
Hegsetfoss,19,6.78,U2,3.25,15.23,8/10/2021,617414.9,6998614.7,617408.1,6998607.9,617417,6998608.9,9.65
Hegsetfoss,20,9.43,U2,3.04,30.14,8/10/2021,617402.9,6998602.7,617393.2,6998592.9,617405.6,6998597.5,13.75
Hegsetfoss,21,1.36,U1,2.48,0.7,8/10/2021,617387.8,6998587.5,617384,6998583.7,617384.2,6998583.6,5.37
Hegsetfoss,22,2.69,U2,4.43,2.05,8/10/2021,617292.3,6998491.6,617290.4,6998489.7,617286.5,6998495.2,2.69
Hegsetfoss,23,1.17,U3,4.76,0.38,8/10/2021,617273.3,6998472.3,617272.5,6998471.5,617276.2,6998468.6,1.17
Hegsetfoss,24,7.88,U2,3.09,20.54,8/10/2021,617252.9,6998451.7,617245.8,6998444.4,617244.9,6998451.5,10.19
Hegsetfoss,25,11.7,U2,3.5,23.1,8/10/2021,617240.3,6998438.9,617226.8,6998425.2,617227.8,6998434,19.23
Hegsetfoss,26,1.46,U3,4.67,0.58,8/10/2021,617214.4,6998412.6,617213.3,6998411.6,617209.5,6998417.3,1.46
Hegsetfoss,27,0.97,U3,4.41,1.28,8/10/2021,617207.5,6998405.8,617206.8,6998405.1,617211.5,6998400.4,0.97
Hegsetfoss,28,1.78,U3,3.69,3.07,8/10/2021,617192.9,6998391.1,617191.6,6998389.8,617195.7,6998387,1.78
Hegsetfoss,29,35.74,U2,3.32,95.23,8/10/2021,617176.3,6998374.4,617142.2,6998340.2,617171.3,6998361.1,48.24
Hegsetfoss,30,3.48,U2,3.51,9.28,8/10/2021,617138.7,6998336.7,617136.2,6998334.2,617141.5,6998330.9,3.48
Hegsetfoss,31,8.94,U2,3.64,27.9,8/10/2021,617131.3,6998329.2,617125,6998322.9,617123.2,6998329.6,8.94
Hegsetfoss,32,10.88,U2,3.06,28.42,8/10/2021,617120.3,6998318.1,617107.9,6998305.7,617112.6,6998302.5,17.53
Hegsetfoss,33,8.75,U2,3.09,21.38,8/10/2021,617102.4,6998300.3,617091,6998288.8,617089,6998293.7,16.17
Hegsetfoss,34,2.88,U3,4.54,1.54,8/10/2021,617077.2,6998275.1,617074.2,6998272,617080,6998271.8,4.32
Hegsetfoss,35,74.96,U1,1.63,349.63,8/10/2021,617069,6998266.8,617007.2,6998204.6,617026.9,6998218.7,87.73
Hegsetfoss,36,8.56,U1,2.72,24.96,8/10/2021,617003.2,6998200.6,616993.8,6998191.2,617002.4,6998192.3,13.25
Hegsetfoss,37,3.73,U2,4.13,7.81,8/10/2021,616987.4,6998184.6,616984.8,6998182,616991.3,6998179.7,3.73
Hegsetfoss,38,0.38,U3,3.41,0.26,8/10/2021,616939,6998135.7,616938.7,6998135.4,616941,6998133.1,0.38
Hegsetfoss,39,0.33,U3,4.83,0.06,8/10/2021,616903.4,6998099.7,616903.2,6998099.5,616906.8,6998096.2,0.33
Hegsetfoss,40,0.69,U3,4.72,0.45,8/10/2021,616897.7,6998094,616895.9,6998092.2,616891.6,6998096.9,2.53
Hegsetfoss,41,3.59,U2,4.15,5.25,8/10/2021,616891.9,6998088.2,616889.4,6998085.6,616885.4,6998090.4,3.59
Hegsetfoss,42,2.19,U3,3.38,7.49,8/10/2021,616883.3,6998079.5,616881.8,6998077.9,616879,6998082.4,2.19
Hegsetfoss,43,3.99,U1,1.46,11.78,8/10/2021,616870.9,6998066.9,616865.9,6998061.8,616867.2,6998068,7.19
Hegsetfoss,44,2.79,U2,3.87,10.18,8/10/2021,616856.3,6998052.2,616852.6,6998048.4,616860.3,6998047.1,5.33
Hegsetfoss,45,58.91,U1,1.81,269.82,8/10/2021,616839.4,6998035.1,616780.8,6997976,616803.8,6998005.5,83.29
Hegsetfoss,46,5.64,U2,4.13,5.38,8/10/2021,616776.3,6997971.5,616771.6,6997966.8,616767.2,6997972.2,6.58
Hegsetfoss,47,62.79,U1,2.36,300.22,8/10/2021,616767.9,6997963.1,616714.2,6997909.4,616712.3,6997914.4,75.94
Hegsetfoss,48,0.42,U3,4.88,0.19,8/10/2021,616706.8,6997902,616706,6997901.2,616701.1,6997906.4,1.18
Hegsetfoss,49,5.06,U2,4.49,4.1,8/10/2021,616701.2,6997896.4,616694.6,6997889.7,616693.5,6997898.6,9.37
Hegsetfoss,50,2.77,U2,3.4,13.25,8/10/2021,616690.3,6997885.5,616688.4,6997883.5,616685.5,6997889.1,2.77
Hegsetfoss,51,6.93,U2,3.39,14.78,8/10/2021,616681.4,6997876.5,616674.5,6997869.6,616679.8,6997866.7,9.78
Hegsetfoss,52,39.97,U1,2.93,115.07,8/10/2021,616665.1,6997860.1,616630.8,6997825.8,616635.3,6997837.9,48.5
Hegsetfoss,53,1.25,U2,4.78,0.77,8/10/2021,616627,6997822,616625.2,6997820.1,616630.4,6997815.2,2.61
Hegsetfoss,54,1.65,U2,4.54,2.18,8/10/2021,616620.7,6997815.6,616619.5,6997814.4,616624.6,6997809.8,1.65
Hegsetfoss,55,2.32,U3,4.44,1.98,8/10/2021,616595.3,6997790.1,616593.6,6997788.5,616599.4,6997784.6,2.32
Hegsetfoss,56,2.03,U3,4.34,1.54,8/10/2021,616571.4,6997766.2,616565.8,6997760.6,616562.4,6997765.2,7.92
Hegsetfoss,57,17.53,U2,3.21,38.27,8/10/2021,616530.3,6997724.6,616505.8,6997699.7,616525.2,6997727.3,34.99
Hegsetfoss,58,2.53,U2,4.31,5.18,8/10/2021,616501.4,6997695.3,616499.6,6997693.5,616505.3,6997690.1,2.53
Hegsetfoss,59,10.52,U1,2.94,35.58,8/10/2021,616492.5,6997686.3,616479.5,6997673.1,616494.1,6997680.8,18.51
Hegsetfoss,60,1.92,U3,4.51,1.02,8/10/2021,616468.4,6997662,616467,6997660.6,616462.9,6997666.4,1.92
Hegsetfoss,61,0.55,U3,4.65,0.38,8/10/2021,616444.3,6997638,616443.9,6997637.6,616439,6997643.1,0.55
Hegsetfoss,62,1.77,U2,4.64,0.96,8/10/2021,616435.2,6997628.8,616433.9,6997627.5,616439.1,6997623.6,1.77
Hegsetfoss,63,2.09,U3,3.82,3.97,8/10/2021,616414.3,6997608,616412.8,6997606.5,616417.8,6997603.3,2.09
Hegsetfoss,64,8.15,U2,3.22,23.49,8/10/2021,616395.5,6997589.1,616386.5,6997580.1,616394.6,6997580.4,12.73
Hegsetfoss,65,3.84,U3,4.23,3.46,8/10/2021,616370.1,6997563.7,616364.3,6997557.9,616364.9,6997567.9,8.11
Hegsetfoss,66,19.34,U1,1.51,89.22,8/10/2021,616349.8,6997543.3,616330.9,6997524.5,616341.9,6997540,26.66
Hegsetfoss,67,5.59,U2,4.23,7.3,8/10/2021,616321.4,6997514.9,616316.6,6997510.1,616315.3,6997518.2,6.72
Hegsetfoss,68,1.16,U3,4.25,1.28,8/10/2021,616299.5,6997493,616298.7,6997492.2,616295,6997497,1.16
Hegsetfoss,69,6.51,U2,3.94,7.94,8/10/2021,616294.5,6997488,616286.2,6997479.7,616290.5,6997481.8,11.74
Hegsetfoss,70,7.87,U2,3.61,16.96,8/10/2021,616282.3,6997475.7,616274.2,6997467.6,616281,6997466.3,11.48
Hegsetfoss,71,0.94,U3,4.66,0.51,8/10/2021,616258.3,6997451.7,616257.7,6997451,616253.6,6997456.1,0.94
Hegsetfoss,72,5.19,U2,3.55,15.55,8/10/2021,616247.8,6997441,616242.2,6997435.4,616248.2,6997432.9,7.93
Hegsetfoss,73,11.08,U1,2.61,26.43,8/10/2021,616225.1,6997418.3,616215.8,6997409,616224,6997409.9,13.14
Hegsetfoss,74,10.17,U2,3.81,22.66,8/10/2021,616197.8,6997390.9,616182.8,6997376,616180.8,6997380.9,21.11
Hegsetfoss,75,3.62,U2,3.83,7.87,8/10/2021,616158.6,6997351.8,616156.1,6997349.3,616161.8,6997346,3.62
Hegsetfoss,76,1.37,U3,4.29,1.54,8/10/2021,616099,6997292.3,616098,6997291.3,616094.4,6997296.6,1.37
Hegsetfoss,77,34.51,U1,2.45,128.19,8/10/2021,616087.6,6997280.7,616056.6,6997249.3,616067,6997267,44.08
Hegsetfoss,78,9.59,U1,2.93,31.36,8/10/2021,616048.9,6997241.4,616040,6997232.5,616039,6997239.4,12.59
Hegsetfoss,79,23.65,U1,2.87,62.4,8/10/2021,616030,6997222.4,616009.4,6997201.7,616022.8,6997223,29.28
Hegsetfoss,80,0.65,U2,4.66,0.13,8/10/2021,616002.9,6997195.2,616002.4,6997194.7,616007.5,6997189.9,0.65
Hegsetfoss,81,17.61,U1,2.53,56.45,8/10/2021,615997.9,6997190.1,615981.2,6997173.4,615988.4,6997187.8,23.59
Hegsetfoss,82,10.05,U2,3.45,24.58,8/10/2021,615975.8,6997168,615967.7,6997159.8,615969.2,6997169.5,11.57
Hegsetfoss,83,1.07,U3,4.71,0.38,8/10/2021,615964,6997156.1,615963.2,6997155.3,615958.6,6997160.7,1.07
Hegsetfoss,84,6.41,U2,3.1,17.09,8/10/2021,615959.7,6997151.7,615950.8,6997142.8,615954.9,6997154.7,12.52
Hegsetfoss,85,2.71,U2,4.24,3.2,8/10/2021,615940.5,6997132.4,615937,6997128.9,615933.1,6997133.8,5
Hegsetfoss,86,26.93,U1,2.59,77.38,8/10/2021,615930.5,6997122.4,615898.8,6997090.4,615906,6997104.8,45.07
Hegsetfoss,87,5.3,U3,3.44,10.94,8/10/2021,615893.8,6997085.4,615878.1,6997069.7,615888.7,6997088.2,22.23
Hegsetfoss,88,41.91,U2,3.31,109.76,8/10/2021,615870,6997061.6,615825.2,6997016.8,615852.8,6997052.7,63.31
Hegsetfoss,89,1.96,U3,4.02,4.74,8/10/2021,615816,6997007.7,615814.7,6997006.3,615811.4,6997011.1,1.96
Hegsetfoss,90,1.71,U3,4.54,1.98,8/10/2021,615810.9,6997002.5,615809.7,6997001.3,615805.8,6997006.5,1.71
Hegsetfoss,91,1.05,U3,4.11,1.15,8/10/2021,615804.8,6996996.4,615803.6,6996995.1,615800.4,6996999.6,1.8
Hegsetfoss,92,1.22,U2,4.61,0.77,8/10/2021,615787.4,6996978.9,615786.5,6996978,615782.1,6996983.6,1.22
Hegsetfoss,93,1.89,U2,4.24,4.54,8/10/2021,615776.4,6996967.9,615775.1,6996966.6,615771.1,6996972.1,1.89
Hegsetfoss,94,3.89,U2,3.8,8.58,8/10/2021,615745.2,6996936.6,615740.4,6996931.8,615737.1,6996937.2,6.74
Hegsetfoss,95,1.9,U2,4.22,4.42,8/10/2021,615729.6,6996920.9,615728.2,6996919.6,615734,6996915.8,1.9
Hegsetfoss,96,1.62,U2,4.69,0.45,8/10/2021,615712.5,6996903.8,615710.7,6996902,615716.5,6996897.6,2.61
Hegsetfoss,97,3.44,U2,3.33,8.19,8/10/2021,615702.7,6996894,615700.3,6996891.5,615706,6996889,3.44
